Participant Number,Music,Slow songs or fast songs,Dance,Folk,Country,Classical music,Musical,Pop,Rock,Metal or Hardrock,Punk,"Hiphop, Rap","Reggae, Ska","Swing, Jazz",Rock n roll,Alternative,Latino,"Techno, Trance",Opera,Movies,Horror,Thriller,Comedy,Romantic,Sci-fi,War,Fantasy/Fairy tales,Animated,Documentary,Western,Action,History,Psychology,Politics,Mathematics,Physics,Internet,PC,Economy Management,Biology,Chemistry,Reading,Geography,Foreign languages,Medicine,Law,Cars,Art exhibitions,Religion,"Countryside, outdoors",Dancing,Musical instruments,Writing,Passive sport,Active sport,Gardening,Celebrities,Shopping,Science and technology,Theatre,Fun with friends,Adrenaline sports,Pets,Flying,Storm,Darkness,Heights,Spiders,Snakes,Rats,Ageing,Dangerous dogs,Fear of public speaking,Smoking,Alcohol,Healthy eating,Daily events,Prioritising workload,Writing notes,Workaholism,Thinking ahead,Final judgement,Reliability,Keeping promises,Loss of interest,Friends versus money,Funniness,Fake,Criminal damage,Decision making,Elections,Self-criticism,Judgment calls,Hypochondria,Empathy,Eating to survive,Giving,Compassion to animals,Borrowed stuff,Loneliness,Cheating in school,Health,Changing the past,God,Dreams,Charity,Number of friends,Punctuality,Lying,Waiting,New environment,Mood swings,Appearence and gestures,Socializing,Achievements,Responding to a serious letter,Children,Assertiveness,Getting angry,Knowing the right people,Public speaking,Unpopularity,Life struggles,Happiness in life,Energy levels,Small - big dogs,Personality,Finding lost valuables,Getting up,Interests or hobbies,Parents' advice,Questionnaires or polls,Internet usage,Finances,Shopping centres,Branded clothing,Entertainment spending,Spending on looks,Spending on gadgets,Spending on healthy eating,Age,Height,Weight,Number of siblings,Gender,Left - right handed,Education,Only child,Village - town,House - block of flats
125,4.0,4.0,1.0,4.0,,5.0,5.0,3.0,5.0,3.0,3.0,1.0,2.0,4.0,5.0,2.0,3.0,1.0,3.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,1.0,3.0,4.0,5.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,2.0,5.0,3.0,4.0,5.0,1.0,1.0,1.0,5.0,4.0,4.0,5.0,4.0,1.0,1.0,1.0,2.0,1.0,1,1.0,1.0,2.0,1.0,current smoker,social drinker,4.0,4.0,2.0,2.0,3.0,4.0,2.0,4.0,4.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,5.0,3.0,1.0,3.0,2,4.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,4,4.0,4,i am always on time,only to avoid hurting someone,4.0,4.0,2.0,3.0,2.0,3.0,1.0,4.0,4.0,1.0,3.0,2.0,4.0,1.0,3.0,4.0,5.0,3.0,3.0,3.0,4.0,3.0,2.0,few hours a day,3.0,3.0,3.0,3.0,4.0,3,5.0,20.0,176.0,69.0,4.0,male,right handed,secondary school,no,city,block of flats
126,5.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,4.0,5.0,3.0,4.0,3.0,2.0,2.0,5.0,2.0,3.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,2.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,5.0,2.0,4.0,3.0,3.0,1.0,4.0,2.0,5.0,4.0,5.0,5.0,4.0,3.0,4.0,1.0,4.0,3.0,5.0,5.0,2.0,5.0,3.0,2.0,2.0,2.0,4.0,3,2.0,4.0,4.0,3.0,never smoked,social drinker,3.0,4.0,3.0,5.0,5.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,3.0,3.0,5.0,4.0,3.0,2.0,5.0,4,4.0,5.0,5.0,3.0,3.0,3.0,3.0,4.0,4,4.0,4,i am often running late,sometimes,3.0,3.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0,5.0,5.0,4.0,4.0,few hours a day,3.0,4.0,2.0,4.0,4.0,2,4.0,20.0,157.0,54.0,1.0,female,right handed,secondary school,no,city,block of flats
127,3.0,5.0,4.0,1.0,1.0,3.0,1.0,4.0,4.0,1.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,4.0,4.0,1.0,1.0,5.0,5.0,3.0,1.0,4.0,5.0,2.0,2.0,2.0,1.0,5.0,3.0,1.0,1.0,1.0,4.0,2.0,5.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,4.0,2.0,2.0,5.0,1.0,1.0,4.0,3.0,5.0,4.0,1.0,4,4.0,4.0,5.0,3.0,tried smoking,social drinker,3.0,3.0,5.0,5.0,3.0,4.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,1.0,5.0,5.0,4.0,4.0,1.0,4.0,1,5.0,3.0,5.0,4.0,3.0,4.0,3.0,3.0,3,1.0,2,i am often early,only to avoid hurting someone,1.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,3.0,5.0,4.0,4.0,3.0,3.0,1.0,3.0,1.0,2.0,2.0,3.0,3.0,few hours a day,4.0,3.0,1.0,1.0,1.0,1,2.0,20.0,163.0,56.0,2.0,female,right handed,secondary school,no,village,house/bungalow
128,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0,5.0,2.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,2.0,5.0,4.0,3.0,2.0,1.0,4.0,5.0,4.0,3.0,2.0,4.0,3.0,4.0,4.0,1.0,1.0,3.0,4.0,1.0,2.0,1.0,2.0,4.0,3.0,5.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,2,2.0,4.0,2.0,2.0,tried smoking,social drinker,1.0,4.0,2.0,1.0,1.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0,2.0,1.0,3.0,5.0,5.0,4.0,2.0,3.0,4,2.0,4.0,5.0,3.0,5.0,2.0,3.0,3.0,3,3.0,3,i am often running late,everytime it suits me,3.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,5.0,3.0,1.0,5.0,4.0,2.0,5.0,most of the day,2.0,1.0,1.0,5.0,2.0,3,1.0,19.0,177.0,64.0,1.0,female,right handed,primary school,no,city,block of flats
129,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,2.0,3.0,1.0,5.0,5.0,5.0,5.0,2.0,5.0,1.0,4.0,3.0,5.0,5.0,5.0,2.0,5.0,2.0,1.0,1.0,4.0,5.0,3.0,3.0,5.0,5.0,5.0,1.0,3.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,3.0,5.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,3.0,1.0,1,1.0,5.0,5.0,5.0,never smoked,never,5.0,5.0,1.0,3.0,3.0,2.0,1.0,4.0,4.0,5.0,5.0,2.0,1.0,1.0,5.0,1.0,3.0,3.0,5.0,5.0,2,3.0,3.0,5.0,5.0,1.0,2.0,5.0,5.0,4,3.0,1,i am always on time,only to avoid hurting someone,5.0,5.0,5.0,5.0,3.0,3.0,1.0,3.0,1.0,3.0,5.0,1.0,5.0,5.0,5.0,5.0,1.0,3.0,4.0,3.0,5.0,3.0,5.0,few hours a day,5.0,5.0,3.0,5.0,3.0,2,5.0,15.0,173.0,49.0,3.0,female,left handed,primary school,no,city,house/bungalow
130,5.0,4.0,5.0,3.0,1.0,2.0,2.0,4.0,5.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0,3.0,1.0,1.0,5.0,1.0,1.0,4.0,5.0,2.0,2.0,5.0,5.0,5.0,2.0,2.0,4.0,3.0,2.0,1.0,1.0,4.0,2.0,1.0,5.0,4.0,3.0,2.0,3.0,5.0,2.0,1.0,3.0,5.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,3.0,1.0,5.0,1.0,5.0,2.0,4.0,4.0,2.0,2.0,1,2.0,3.0,1.0,3.0,never smoked,social drinker,3.0,2.0,3.0,4.0,1.0,2.0,5.0,4.0,3.0,3.0,5.0,2.0,2.0,1.0,3.0,5.0,4.0,5.0,2.0,5.0,1,2.0,5.0,5.0,2.0,3.0,3.0,2.0,5.0,3,2.0,4,i am often early,sometimes,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,less than an hour a day,3.0,4.0,3.0,3.0,3.0,3,2.0,20.0,178.0,75.0,1.0,female,right handed,secondary school,no,village,house/bungalow
131,4.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,5.0,3.0,3.0,1.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,5.0,4.0,5.0,4.0,2.0,3.0,4.0,2.0,3.0,,1.0,2.0,5.0,3.0,5.0,2.0,1.0,5.0,4.0,4.0,1.0,1.0,5.0,5.0,4.0,2.0,5.0,1.0,4.0,3.0,4.0,2.0,1.0,4.0,5.0,3.0,2.0,4.0,5.0,4.0,4.0,5.0,3.0,1.0,1.0,1.0,3.0,1.0,4.0,4,5.0,5.0,4.0,3.0,,,3.0,1.0,3.0,4.0,4.0,4.0,1.0,4.0,4.0,3.0,3.0,5.0,1.0,1.0,2.0,5.0,4.0,5.0,2.0,4.0,1,3.0,4.0,5.0,1.0,3.0,4.0,4.0,2.0,4,2.0,4,i am often early,sometimes,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,1.0,5.0,4.0,4.0,5.0,few hours a day,4.0,5.0,5.0,5.0,5.0,5,5.0,19.0,168.0,66.0,1.0,female,right handed,secondary school,no,village,house/bungalow
132,5.0,4.0,3.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0,3.0,5.0,2.0,1.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,1.0,3.0,4.0,1.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,5.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,4.0,4.0,3.0,5.0,5.0,3.0,1.0,2.0,3.0,4.0,2.0,2,3.0,1.0,4.0,2.0,former smoker,social drinker,3.0,4.0,1.0,1.0,1.0,4.0,3.0,2.0,4.0,2.0,2.0,5.0,3.0,1.0,3.0,1.0,2.0,5.0,1.0,5.0,4,1.0,5.0,5.0,3.0,5.0,4.0,3.0,3.0,2,1.0,4,i am often early,sometimes,4.0,5.0,3.0,5.0,3.0,4.0,2.0,4.0,5.0,2.0,4.0,4.0,4.0,1.0,4.0,4.0,1.0,4.0,1.0,3.0,1.0,2.0,4.0,few hours a day,4.0,5.0,5.0,3.0,3.0,4,3.0,18.0,193.0,103.0,2.0,male,right handed,primary school,yes,village,house/bungalow
133,5.0,4.0,3.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,5.0,2.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,2.0,5.0,4.0,1.0,3.0,1.0,5.0,2.0,4.0,1.0,5.0,3.0,2.0,4.0,1.0,4.0,5.0,5.0,3.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,4.0,2.0,3.0,3.0,5.0,1.0,1.0,2.0,1.0,5.0,3,5.0,3.0,1.0,4.0,tried smoking,never,2.0,4.0,4.0,2.0,5.0,4.0,1.0,4.0,5.0,1.0,2.0,5.0,4.0,5.0,4.0,1.0,4.0,5.0,3.0,4.0,3,1.0,5.0,4.0,5.0,5.0,2.0,1.0,4.0,4,1.0,1,i am always on time,sometimes,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,5.0,4.0,4.0,2.0,3.0,4.0,3.0,2.0,4.0,2.0,2.0,5.0,most of the day,5.0,4.0,3.0,1.0,2.0,2,2.0,15.0,170.0,51.0,1.0,female,right handed,primary school,no,village,house/bungalow
134,5.0,3.0,2.0,4.0,1.0,4.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,3.0,1.0,3.0,5.0,1.0,1.0,2.0,2.0,1.0,4.0,5.0,4.0,5.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,5.0,3.0,4.0,2.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,3.0,1.0,3.0,1.0,5.0,4.0,1.0,4.0,3.0,3.0,5.0,4.0,4.0,4,2.0,2.0,3.0,2.0,tried smoking,social drinker,1.0,3.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,1.0,4.0,1.0,1.0,1.0,5.0,3.0,4.0,4.0,1.0,4.0,3,4.0,5.0,5.0,2.0,2.0,3.0,3.0,5.0,3,2.0,3,i am always on time,never,2.0,3.0,4.0,4.0,1.0,2.0,1.0,5.0,3.0,4.0,2.0,4.0,4.0,5.0,3.0,4.0,5.0,3.0,4.0,4.0,5.0,4.0,2.0,less than an hour a day,2.0,5.0,4.0,2.0,2.0,1,2.0,20.0,170.0,50.0,2.0,female,right handed,college/bachelor degree,no,city,house/bungalow
135,5.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,4.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,5.0,3,1.0,5.0,5.0,5.0,former smoker,social drinker,3.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,1.0,5.0,5.0,3.0,5.0,5,1.0,5.0,5.0,5.0,4.0,3.0,5.0,1.0,3,1.0,3,i am always on time,only to avoid hurting someone,1.0,3.0,5.0,3.0,1.0,3.0,1.0,3.0,3.0,5.0,4.0,5.0,5.0,5.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,1.0,few hours a day,1.0,3.0,5.0,5.0,5.0,5,5.0,16.0,170.0,59.0,1.0,female,right handed,secondary school,yes,village,house/bungalow
136,5.0,3.0,2.0,1.0,3.0,5.0,1.0,3.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,1.0,1.0,3.0,4.0,3.0,5.0,5.0,2.0,4.0,5.0,3.0,3.0,5.0,2.0,4.0,5.0,2.0,1.0,3.0,2.0,4.0,4.0,1.0,3.0,1.0,4.0,4.0,5.0,2.0,5.0,4.0,4.0,2.0,4.0,1.0,3.0,1.0,4.0,4.0,2.0,3.0,2.0,5.0,4.0,5.0,1.0,5.0,4.0,4.0,5.0,5.0,5.0,2,1.0,3.0,1.0,1.0,current smoker,drink a lot,3.0,2.0,1.0,1.0,1.0,5.0,3.0,3.0,4.0,2.0,5.0,4.0,1.0,1.0,5.0,4.0,4.0,4.0,1.0,5.0,2,2.0,5.0,5.0,3.0,5.0,3.0,4.0,3.0,4,2.0,3,i am often early,sometimes,1.0,3.0,3.0,2.0,2.0,4.0,5.0,3.0,2.0,5.0,3.0,5.0,4.0,2.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,3.0,4.0,few hours a day,4.0,3.0,3.0,3.0,1.0,4,4.0,18.0,185.0,62.0,1.0,male,right handed,secondary school,no,village,block of flats
137,5.0,3.0,4.0,3.0,2.0,3.0,2.0,4.0,3.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,4.0,4.0,5.0,4.0,3.0,5.0,2.0,2.0,4.0,3.0,4.0,4.0,2.0,5.0,2.0,4.0,5.0,4.0,3.0,5.0,5.0,3.0,3.0,3.0,5.0,2.0,2.0,1.0,5.0,3.0,4.0,1.0,2.0,5.0,5.0,4.0,1.0,3.0,5.0,5.0,5.0,3.0,3.0,1.0,1.0,2.0,4.0,5.0,3,1.0,1.0,3.0,2.0,never smoked,never,3.0,3.0,2.0,1.0,3.0,4.0,5.0,4.0,5.0,1.0,5.0,4.0,2.0,1.0,3.0,5.0,3.0,4.0,1.0,3.0,1,2.0,5.0,5.0,4.0,4.0,3.0,3.0,5.0,3,2.0,3,i am often early,never,3.0,3.0,3.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,2.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,2.0,few hours a day,3.0,3.0,4.0,3.0,2.0,3,4.0,21.0,185.0,90.0,1.0,male,right handed,secondary school,no,village,house/bungalow
138,5.0,3.0,4.0,3.0,3.0,5.0,5.0,5.0,4.0,2.0,2.0,4.0,3.0,5.0,4.0,3.0,4.0,2.0,2.0,2.0,1.0,3.0,4.0,3.0,1.0,2.0,4.0,5.0,3.0,1.0,3.0,4.0,,3.0,3.0,3.0,5.0,4.0,2.0,4.0,3.0,4.0,5.0,5.0,3.0,2.0,5.0,4.0,3.0,3.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,5.0,2.0,2.0,2.0,3.0,4,1.0,2.0,4.0,2.0,never smoked,never,1.0,4.0,3.0,5.0,5.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,1.0,3.0,2.0,1.0,3.0,2,4.0,3.0,4.0,5.0,2.0,3.0,5.0,4.0,3,1.0,1,i am often early,sometimes,4.0,2.0,5.0,3.0,3.0,1.0,2.0,5.0,3.0,5.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,1.0,5.0,4.0,few hours a day,4.0,4.0,1.0,2.0,1.0,1,4.0,,,,,,right handed,primary school,yes,village,house/bungalow
139,5.0,3.0,2.0,3.0,3.0,4.0,5.0,2.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0,2.0,3.0,1.0,2.0,5.0,1.0,2.0,5.0,5.0,1.0,3.0,5.0,4.0,4.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,1.0,2.0,5.0,4.0,5.0,3.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,2.0,5.0,3.0,2.0,4.0,1.0,2.0,3.0,2.0,2.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2,2.0,1.0,4.0,3.0,never smoked,never,1.0,4.0,2.0,2.0,1.0,5.0,2.0,5.0,5.0,5.0,4.0,3.0,1.0,1.0,4.0,5.0,4.0,5.0,1.0,5.0,2,1.0,2.0,5.0,4.0,4.0,3.0,5.0,5.0,3,3.0,4,i am always on time,sometimes,5.0,5.0,2.0,3.0,5.0,3.0,5.0,5.0,4.0,1.0,2.0,5.0,5.0,,4.0,4.0,3.0,3.0,4.0,3.0,3.0,5.0,5.0,few hours a day,4.0,1.0,1.0,1.0,1.0,1,1.0,20.0,168.0,50.0,4.0,female,right handed,secondary school,no,village,house/bungalow
140,5.0,4.0,5.0,3.0,2.0,3.0,3.0,5.0,4.0,1.0,2.0,5.0,3.0,4.0,4.0,1.0,2.0,3.0,2.0,5.0,3.0,3.0,5.0,5.0,2.0,1.0,3.0,4.0,1.0,2.0,3.0,1.0,3.0,1.0,2.0,1.0,4.0,3.0,1.0,3.0,2.0,3.0,1.0,4.0,1.0,3.0,1.0,4.0,3.0,5.0,5.0,5.0,3.0,2.0,4.0,2.0,4.0,4.0,2.0,3.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,3.0,5,5.0,4.0,5.0,2.0,tried smoking,social drinker,3.0,3.0,2.0,5.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,1.0,4.0,2,1.0,3.0,5.0,4.0,2.0,4.0,2.0,5.0,4,3.0,3,i am often running late,sometimes,2.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,2.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,5.0,5.0,4.0,5.0,few hours a day,2.0,4.0,3.0,3.0,1.0,4,2.0,19.0,168.0,53.0,1.0,female,right handed,college/bachelor degree,no,village,block of flats
141,5.0,4.0,3.0,2.0,1.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,4.0,3.0,2.0,5.0,1.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,3.0,5.0,2.0,2.0,3.0,5.0,5.0,5.0,1.0,4.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,4.0,4.0,5.0,5.0,2.0,2.0,2.0,5.0,2.0,4,3.0,2.0,4.0,3.0,tried smoking,social drinker,3.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,1.0,5.0,2.0,2.0,1.0,3.0,5.0,5.0,5.0,1.0,4.0,4,4.0,5.0,3.0,3.0,4.0,3.0,5.0,5.0,3,4.0,4,i am always on time,sometimes,4.0,1.0,4.0,3.0,4.0,2.0,5.0,5.0,5.0,2.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,few hours a day,3.0,2.0,2.0,1.0,1.0,1,2.0,19.0,175.0,52.0,3.0,female,right handed,college/bachelor degree,no,city,block of flats
142,3.0,4.0,1.0,3.0,1.0,3.0,1.0,3.0,5.0,5.0,4.0,4.0,3.0,1.0,1.0,5.0,5.0,2.0,1.0,3.0,3.0,1.0,5.0,5.0,1.0,1.0,5.0,5.0,5.0,1.0,1.0,3.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,5.0,3.0,3.0,1.0,5.0,1.0,2.0,4.0,5.0,1.0,3,1.0,5.0,3.0,1.0,current smoker,social drinker,3.0,1.0,5.0,3.0,5.0,5.0,2.0,5.0,5.0,5.0,3.0,3.0,2.0,1.0,1.0,5.0,4.0,5.0,1.0,3.0,2,1.0,5.0,2.0,3.0,2.0,1.0,1.0,3.0,3,1.0,3,i am often early,only to avoid hurting someone,2.0,1.0,5.0,3.0,3.0,4.0,5.0,3.0,5.0,3.0,5.0,3.0,5.0,3.0,3.0,3.0,3.0,4.0,1.0,4.0,5.0,3.0,2.0,few hours a day,1.0,3.0,5.0,5.0,1.0,1,5.0,19.0,170.0,65.0,1.0,female,right handed,primary school,yes,city,block of flats
143,5.0,4.0,4.0,1.0,3.0,2.0,2.0,4.0,4.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,4.0,1.0,2.0,4.0,4.0,4.0,1.0,3.0,4.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,5.0,5.0,4.0,1.0,1.0,4.0,4.0,3.0,1.0,2.0,2.0,1.0,1.0,5.0,5.0,1.0,1.0,3.0,4.0,1.0,3.0,5.0,5.0,4.0,4.0,1.0,1.0,3.0,3.0,1.0,4.0,4.0,4,4.0,4.0,5.0,3.0,never smoked,social drinker,2.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,1.0,3.0,2.0,1.0,1.0,4.0,3.0,4.0,4.0,5.0,3.0,3,4.0,4.0,4.0,3.0,3.0,5.0,3.0,2.0,2,4.0,2,i am often running late,sometimes,5.0,3.0,5.0,1.0,2.0,1.0,4.0,3.0,3.0,3.0,4.0,5.0,3.0,4.0,3.0,3.0,1.0,3.0,4.0,5.0,2.0,2.0,2.0,most of the day,2.0,5.0,5.0,4.0,4.0,5,4.0,,,,,male,left handed,primary school,no,city,block of flats
144,5.0,4.0,4.0,2.0,1.0,1.0,2.0,4.0,4.0,2.0,3.0,5.0,4.0,1.0,1.0,3.0,3.0,3.0,1.0,,4.0,2.0,4.0,3.0,3.0,1.0,4.0,5.0,4.0,1.0,2.0,,4.0,2.0,1.0,1.0,5.0,3.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,3.0,3.0,1.0,1.0,5.0,2.0,1.0,2.0,4.0,,1.0,5.0,1.0,5.0,2.0,3.0,4.0,5.0,5.0,5,5.0,4.0,2.0,4.0,former smoker,social drinker,3.0,1.0,2.0,3.0,3.0,5.0,3.0,5.0,4.0,2.0,4.0,3.0,1.0,1.0,3.0,3.0,3.0,4.0,3.0,5.0,1,,5.0,5.0,3.0,5.0,4.0,2.0,3.0,4,1.0,3,i am often early,everytime it suits me,3.0,3.0,4.0,4.0,4.0,4.0,1.0,4.0,2.0,3.0,3.0,5.0,3.0,5.0,3.0,3.0,5.0,4.0,1.0,4.0,2.0,3.0,5.0,most of the day,2.0,5.0,5.0,5.0,5.0,3,4.0,20.0,168.0,62.0,1.0,female,right handed,secondary school,no,city,block of flats
145,5.0,2.0,3.0,1.0,2.0,3.0,2.0,,5.0,1.0,3.0,2.0,2.0,2.0,4.0,3.0,4.0,4.0,2.0,5.0,5.0,2.0,5.0,3.0,5.0,5.0,3.0,4.0,5.0,1.0,4.0,3.0,4.0,1.0,1.0,4.0,5.0,5.0,1.0,5.0,5.0,2.0,3.0,3.0,5.0,1.0,1.0,4.0,1.0,5.0,3.0,3.0,1.0,4.0,4.0,1.0,1.0,3.0,5.0,4.0,5.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,2.0,5.0,never smoked,social drinker,5.0,1.0,5.0,4.0,3.0,4.0,1.0,5.0,5.0,1.0,5.0,2.0,4.0,5.0,5.0,1.0,5.0,4.0,1.0,4.0,2,1.0,5.0,5.0,4.0,1.0,1.0,5.0,1.0,2,1.0,1,i am often early,sometimes,4.0,1.0,4.0,4.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,5.0,3.0,1.0,1.0,2.0,3.0,2.0,4.0,1.0,1.0,1.0,4.0,few hours a day,5.0,2.0,2.0,1.0,1.0,1,5.0,21.0,180.0,66.0,1.0,male,right handed,secondary school,no,city,block of flats
146,1.0,4.0,4.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,4.0,2.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,4.0,2.0,1.0,,4.0,2.0,1.0,2.0,1.0,3.0,3.0,4.0,4.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,3.0,4.0,3.0,5.0,4,3.0,3.0,4.0,3.0,current smoker,social drinker,2.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,1.0,2.0,5.0,4.0,4.0,2.0,4.0,1,3.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4,3.0,3,i am often early,everytime it suits me,2.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0,4.0,few hours a day,2.0,3.0,2.0,4.0,2.0,2,3.0,19.0,165.0,78.0,1.0,female,right handed,secondary school,no,village,house/bungalow
